word,tf,df,tfidf
magnetic,5987,1360,11011.679325625799
autophagy,3243,287,11010.0586960673
hydrogel,2634,131,11008.296263749322
spinal,3993,544,11002.933884393515
sensor,4375,693,10996.452867873162
crystal,4926,919,10990.983897775224
read,6271,1484,10986.845408167563
physiol,6269,1484,10983.341391134181
axon,3546,388,10969.549584418295
learn,6677,1656,10965.934930742218
regulatory,7187,1862,10960.882794309953
media,6524,1601,10935.014887696823
deletion,5791,1295,10934.791853753057
impairment,6363,1543,10899.95318329329
psychiatric,5047,988,10895.575858756432
cerebral,4886,928,10854.118092489241
emotional,4718,862,10828.98794190108
coli,4283,683,10827.467176268836
opioid,3071,253,10813.345552141633
resolution,7118,1875,10806.127652332405
defect,5818,1338,10795.727785028448
dementia,3600,427,10791.79533788195
fraction,7099,1879,10762.15457119158
predictor,7434,2013,10757.916208861609
category,7690,2113,10755.548696347365
motion,4560,814,10727.603259334746
severity,6726,1741,10709.742544370998
accuracy,6814,1778,10706.569212881412
mitochondria,3645,454,10703.206220963097
prediction,6822,1783,10699.981744469625
stain,6293,1564,10694.972500535441
oncol,5495,1228,10667.788760251764
chromosome,4805,931,10658.670411392446
disability,4494,801,10644.686106113531
wash,6259,1570,10613.223829351813
worker,3868,551,10609.034867733562
transport,5694,1331,10595.504080798639
rating,4408,776,10580.753468395158
recipient,4228,702,10572.416455866407
diabetic,3779,525,10547.592135506084
consumption,4873,984,10539.70957832155
recurrence,4183,690,10532.013213044294
smoker,3718,504,10529.110803784979
hormone,4888,995,10517.81364953225
person,6374,1645,10510.785132991246
peer,4055,647,10470.65330919406
hepatic,3950,605,10464.642105429491
transcriptional,5409,1240,10448.23146635882
microbiota,2743,191,10429.52103843482
immunity,4803,978,10417.68428365069
randomize,6934,1908,10405.812809033712
electrode,3386,397,10396.945481848707
income,4429,819,10392.29797372632
nerve,4160,704,10390.542590521653
dysfunction,6287,1644,10371.14437250973
intracellular,6133,1581,10356.748668978238
adherence,4222,741,10329.141218444947
object,3975,639,10313.536932011068
race,5548,1334,10311.333676952912
cigarette,3438,429,10290.09909788275
preterm,2738,200,10284.44157725611
bond,4789,1002,10271.21569386507
egfr,3119,318,10269.162646272542
vessel,4399,832,10252.628325726528
contact,7143,2043,10231.13565862389
metastatic,4195,750,10212.441123658895
safety,6272,1680,10210.539204226145
affinity,5094,1160,10179.491269282082
skill,4358,828,10178.073203530921
coefficient,6609,1837,10168.712187036159
nicotine,2875,250,10157.50156484795
trait,4186,756,10157.176479902451
t_cell,3889,629,10151.7432559778
transmission,5202,1216,10150.053330793884
threshold,6838,1941,10144.489990868966
electron,4856,1064,10123.372497627955
daily,6720,1903,10102.297451379203
transcript,4600,952,10101.32356588277
column,5886,1543,10082.842124291106
covariate,4976,1129,10078.476864311524
inject,5239,1250,10077.77241092763
peripheral,6240,1705,10066.27159637073
input,5840,1527,10064.916669564627
secretion,4724,1017,10061.612379601493
laser,3984,685,10059.943030988825
theory,6556,1848,10048.025131946884
western,5963,1589,10039.573786654422
delay,7205,2127,10029.627487194377
agonist,4046,718,10026.131112562334
fibrosis,3714,576,10021.847496888116
treg,2444,142,10017.168745604245
complication,5484,1378,10014.42282482297
cocaine,2943,285,10012.132382119697
plasmid,4147,768,9997.235964550278
deficit,4809,1071,9993.856387687201
movement,5236,1271,9984.767524080955
connectivity,3532,507,9981.41058487251
decision,6735,1949,9963.982877532177
segmentation,3131,356,9955.246850151221
surg,4657,1020,9905.19233798876
tuberculosis,2858,268,9898.734329414772
metal,3878,667,9895.550360880428
encode,6518,1875,9895.243051124278
biopsy,4123,781,9870.172526554616
fatty,3870,670,9857.769372487877
perceive,4883,1140,9842.767591461115
attention,6643,1946,9838.108140775788
oxygen,5210,1295,9837.725014341811
influenza,2866,277,9831.776986505232
classification,6219,1763,9824.358022127528
meta_analysis,6036,1681,9822.749831108975
decline,6101,1719,9792.147310649789
tube,5002,1213,9772.172463432971
knockdown,3695,608,9770.799565979725
fusion,4349,906,9765.530043897203
parental,4039,764,9757.970153904947
pathogen,3951,724,9757.83822827577
fragment,4861,1151,9751.742182575093
platelet,3253,428,9743.976815952348
mechanical,4371,927,9714.772059478964
resection,3354,473,9711.203637160212
phys,4396,942,9699.772531040077
vitamin,3293,450,9698.732478753598
reporter,3812,673,9692.999636267921
mg_kg,3733,640,9679.806240252172
accumulation,5616,1527,9678.865071279955
antibiotic,3742,646,9668.225743889865
illness,4842,1164,9659.244365317345
pair,6417,1900,9656.916189866028
assembly,4814,1152,9653.273977366918
recognition,5924,1679,9647.537802509205
motif,4270,894,9645.072435594187
resonance,5139,1316,9620.99338583002
space,6574,1999,9559.270531302662
microscopy,5049,1289,9557.165951330802
cord,3555,586,9531.613211239905
myocardial,3803,701,9515.094794017316
mixture,5476,1507,9509.77899005058
yeast,3448,545,9494.823614562587
aids,3410,529,9491.791294188766
hippocampal,3314,490,9478.369906424548
joint,4736,1158,9472.2618169023
hippocampus,3358,514,9443.641864525383
shape,5983,1774,9414.326948072856
polymer,3230,465,9407.270137503156
onset,5998,1784,9404.213980414044
search,5822,1708,9381.725467656861
conformation,3714,685,9378.16978340675
clinic,6029,1818,9338.997361388523
odds,4356,1003,9338.193088098855
degradation,4900,1273,9336.329375117177
neuroscience,4735,1192,9333.239434373718
blot,4234,945,9328.856934721536
adverse,5765,1702,9310.1615643565
filter,5819,1730,9302.417803777733
longitudinal,5999,1820,9285.931048922936
pancreatic,3466,588,9281.178522072338
dendritic,3627,663,9276.886529492162
physician,4909,1294,9273.157283438539
library,4345,1013,9271.506280155918
subtype,4507,1095,9266.370808840713
noise,3880,788,9253.826580173481
p_value,4853,1273,9246.776828049728
survivor,3086,432,9215.040880808792
questionnaire,4716,1216,9201.7784521384
communication,5298,1507,9200.65907401168
adhesion,3897,809,9191.877373032217
frontal,3266,514,9184.911950428797
gastric,2983,394,9182.13347483132
wave,3675,706,9168.719658248687
astrocyte,2777,316,9160.664092410083
scaffold,3322,543,9160.068251248245
arthritis,3323,544,9156.7115697069
segment,4573,1159,9142.305459939082
deficiency,5046,1400,9134.659885615001
enhancer,2898,366,9134.123917134364
perception,4568,1160,9128.369870059
random,5844,1803,9100.847859402926
extracellular,5016,1395,9098.297914751547
embryonic,4039,902,9087.307407815586
supplemental,5190,1488,9078.953802879842
organ,5557,1671,9076.400427498527
lymphoma,3243,521,9076.362136369582
clone,4267,1023,9063.151414448252
lateral,4158,968,9061.416523362266
seizure,2843,354,9055.54642156921
fibroblast,3896,840,9043.017477270389
oncology,4411,1104,9032.888646605854
matter,5274,1544,9031.056308661
percent,5854,1834,9016.625183620028
moderate,6418,2109,8988.638507290301
wound,3067,457,8985.762692389648
effector,3964,892,8962.757834270013
stimulate,5701,1777,8960.963563013664
recovery,4962,1408,8954.323001159733
primer,4335,1087,8944.527111041825
genetics,5486,1679,8934.23234040606
choice,5645,1758,8933.623806966203
amplitude,3410,625,8923.128721224439
demographic,6339,2095,8920.216129003857
neck,3350,598,8914.062524665867
comorbidity,3889,865,8912.714660827736
diffusion,3762,801,8910.838702981555
reconstruction,3344,599,8892.509736659913
gradient,4613,1250,8873.59498599144
pathology,6132,2018,8858.549278641598
equation,4828,1369,8848.126487845737
representation,4892,1405,8838.436858516821
hepatitis,2942,425,8833.107199734282
parenting,2386,212,8823.233936470057
obese,3170,530,8817.760550373883
systemic,5205,1575,8809.433295569062
trauma,3425,660,8775.757985986724
vehicle,3603,750,8771.257537197378
posterior,3695,797,8770.637716714868
fluid,4635,1290,8769.917998593932
personality,3059,487,8767.830660229187
gyrus,2611,298,8766.20130616593
graph,4259,1093,8764.270083096617
placebo,3004,465,8749.052474631419
epigenetic,3446,676,8747.022684636562
efficiency,5339,1664,8742.747678338015
band,4184,1059,8742.152504712858
mmol,2181,157,8720.203173587119
aureus,2244,176,8715.743001432502
resource,5915,1963,8708.511038427527
fetal,4469,1221,8701.498134927548
urinary,3009,475,8699.591120377692
isoform,3622,776,8694.076466090577
quantification,5244,1632,8689.011215264149
extended,3818,886,8658.414545105934
optical,3757,854,8658.283566086975
colorectal,3155,553,8642.008592215998
color,4960,1500,8636.771384505657
modeling,5463,1767,8617.69931522133
sodium,4569,1301,8606.243614446455
vesicle,2838,413,8602.140752083029
array,4810,1431,8602.089333744316
purify,4738,1393,8600.843861932024
lineage,3453,709,8600.212426148106
scheme,4095,1048,8598.95157932429
microglium,2286,199,8598.103464475484
neighborhood,2841,416,8590.671711325445
california,5855,1975,8584.491295349984
diameter,4395,1214,8582.683317869896
pubmed,2447,257,8577.784409464377
variance,5477,1789,8572.013577292431
diagnose,5686,1896,8568.820522731156
colon,3320,651,8552.304390055493
amygdala,2529,292,8542.332628380776
ventricular,2919,461,8526.711033573085
children,4410,1238,8525.643468435193
graft,2982,491,8522.73734324338
anterior,3649,831,8509.012406157952
discrimination,3269,634,8507.42861817133
fish,2915,463,8502.407538657257
neurol,3856,945,8496.001969836147
enrichment,3541,782,8472.374357749386
radical,3153,584,8464.556278280726
dynamic,5875,2026,8464.031751705377
ptsd,2064,142,8459.671150133863
dental,2486,285,8457.41117973142
interface,4358,1232,8446.286850382561
mood,3129,576,8443.28508825065
actin,3471,753,8436.056242497638
spine,2636,349,8433.705436016395
stability,5371,1780,8433.202051895565
educational,3693,874,8425.300917667984
constant,5497,1851,8416.036882261531
post,5315,1757,8414.398944607541
auditory,2584,330,8411.985346914254
retina,2322,229,8407.45797939778
relapse,3165,601,8405.955168619212
cessation,2822,436,8400.706531128775
dependence,4454,1299,8396.480030371165
cortisol,2148,172,8392.258475822686
acquisition,5356,1790,8379.644326719908
feedback,4157,1140,8379.353855765688
plan,5177,1698,8372.754715251587
arterial,3070,560,8370.564241034801
capacity,5659,1950,8369.209914660225
transporter,3283,669,8367.450649991499
miss,5808,2036,8338.9089644383
correct,5895,2082,8332.114974878314
anova,4337,1257,8318.460250937202
burden,5113,1682,8317.655068712831
glioma,2436,282,8313.088410053137
face,5074,1664,8308.803468793236
loop,3954,1047,8306.645164630885
preference,3961,1051,8306.246982952312
recruitment,4920,1583,8302.14517224225
lymph,2995,540,8274.992723574906
mite,1461,30,8259.482343342368
skeletal,3153,624,8255.671965669322
latent,2999,547,8247.418357850225
specificity,5807,2074,8230.090093307177
composition,4874,1583,8224.523489737545
intermediate,4658,1467,8214.52349587729
oxidation,3142,628,8206.793319750448
normalize,5683,2023,8195.841330771507
angle,3561,861,8177.517562561544
zebrafish,2242,223,8177.320964803693
copd,2134,186,8170.570141148157
hair,2438,301,8160.948219281459
tumour,3311,731,8145.3628924926625
module,3195,671,8133.625892011162
suppress,5025,1697,8129.8855677987385
exon,2959,549,8126.616830270323
edge,3511,848,8116.112933542419
translation,3958,1103,8108.817615969298
pulse,3229,695,8106.705103281185
compute,4718,1537,8100.415334877288
transfect,3232,699,8095.688768531478
upper,5161,1784,8091.888688382274
antagonist,3426,807,8089.4070383794115
recurrent,3664,941,8088.506438250923
late,5106,1756,8086.429214734601
variability,5307,1867,8079.465941022695
chemistry,4708,1540,8074.065789508869
adipose,2544,359,8067.48841210935
sensory,3112,641,8064.671704643862
tract,3808,1031,8058.567497975369
nucleotide,3953,1117,8048.71571775202
recommendation,4943,1681,8044.044469047658
basal,3934,1113,8024.142777686635
helix,2682,430,8021.110320501059
nursing,3035,609,8020.554051669259
localization,4401,1392,7992.25164600376
metastasis,3183,696,7986.641256506211
regimen,3553,905,7982.063198339511
postoperative,2681,436,7980.968890842044
hiv_infected,2336,281,7980.127033252947
specimen,3625,947,7979.371196215915
neonatal,3116,661,7979.300429364804
maltreatment,1824,108,7975.209653047956
quit,2026,168,7963.275987015976
violence,2430,323,7962.7518597848175
coverage,3539,908,7938.899128269519
cent,2490,354,7931.167987937858
endogenous,4624,1550,7900.079633854021
confidence,5334,1946,7899.513596703005
tolerance,3593,951,7893.788224196483
abundance,3391,836,7887.046625987401
recommend,5164,1858,7886.713944672616
strength,5544,2064,7884.143543799238
reverse,5618,2106,7876.207053714185
mode,4816,1672,7863.223570860731
orientation,3800,1081,7861.679866559617
sampling,4448,1465,7850.250375564714
suppression,4278,1367,7846.412861603382
slice,3203,739,7844.81008336194
dust,1860,127,7831.191208364603
infected,3072,670,7825.082044517509
couple,5032,1808,7822.386906112574
fear,2944,602,7814.104625601584
mild,4286,1383,7811.211893116629
recall,3212,752,7810.840796095907
conserve,4020,1227,7807.553532742716
allergy,2853,555,7804.486566494133
fluorescent,3925,1173,7799.701485175974
online,5525,2087,7795.896734208219
discovery,5287,1965,7778.537958998383
protease,3476,914,7774.680106518533
conjugate,3494,926,7769.365685966932
estrogen,2627,446,7760.646591521522
fracture,2304,295,7758.788161716253
myeloid,2715,492,7754.111197958403
girl,2583,428,7737.071046912055
father,2295,294,7736.273272217161
branch,3668,1039,7733.944802101459
minority,3433,901,7727.681911085759
cleavage,3251,795,7724.905346557864
advanced,5178,1927,7719.286138435099
ethanol,3133,729,7716.050175946641
carbon,3166,749,7711.6350195480445
thickness,3470,928,7708.512030482535
spectral,2851,573,7708.018406778152
plaque,2411,350,7706.93457588831
selective,5530,2125,7703.167560599243
initiation,4599,1603,7702.739951131301
native,3961,1226,7696.1945755546385
south,4067,1290,7695.200970934525
candidate,4768,1709,7680.491114818147
neurology,3490,949,7674.845534910363
disparity,3161,756,7670.0513265579675
computational,3905,1202,7664.588832885932
engineering,4298,1441,7656.510256310854
healthcare,4629,1637,7655.830716544192
recombinant,3609,1027,7651.468799336592
polymerase,3384,892,7651.3553257239455
recording,3037,694,7629.044159990467
fmri,2221,276,7627.145149910709
g_ml,3206,793,7626.053590418962
oxide,2989,668,7622.597916208531
axis,4324,1471,7613.730418487054
wall,3721,1107,7609.802244686744
expansion,3901,1219,7601.952081464391
entry,4205,1405,7597.2254681241275
overlap,5001,1876,7589.556662070277
abnormality,4108,1349,7589.062033935908
regulator,4248,1434,7588.1255930100615
parkinson,2565,445,7583.244638415904
academic,4045,1313,7582.089842436221
voxel,2328,330,7578.599801709128
assume,5451,2131,7577.752938649255
murine,3969,1271,7568.667361168317
resident,3133,765,7565.032990951228
framework,4639,1676,7563.145679845386
researcher,4630,1671,7562.305916738921
vaccination,2279,310,7561.568493257669
ischemic,2773,560,7560.773498498209
video,2799,576,7552.813985942336
hepatocyte,2347,343,7549.769735662713
caregiver,2476,406,7547.223809301214
hazard,2870,617,7547.055080391355
likelihood,4412,1547,7546.42638039609
respond,5432,2134,7543.6981944781255
inhibitory,3850,1207,7540.655119384014
ieee,2770,563,7537.79411501107
hematopoietic,2750,552,7537.631458887639
gland,2578,460,7536.2118465102085
identity,3818,1190,7532.136480765048
adaptive,3689,1111,7531.053477221609
amyloid,2154,260,7525.6954084530435
distress,2905,644,7514.672052581302
involvement,5011,1916,7499.011519237004
path,3432,964,7493.475632411371
lymphocyte,3074,748,7491.651432551557
world,5247,2053,7489.817155275189
participation,3978,1303,7486.915685180388
catenin,1946,183,7482.406560624129
mammalian,4290,1496,7481.566014280783
africa,2466,412,7480.565603574991
supplement,4995,1914,7480.284070183751
invasion,2872,634,7474.2535917369405
projection,3009,714,7473.218532038118
ring,3066,748,7472.154616852008
overexpression,3386,943,7467.615295258647
plasticity,3027,730,7450.840649796295
atrial,2055,228,7449.702385057727
precursor,3855,1241,7443.35795834784
monkey,2491,433,7432.564126127172
metformin,1723,115,7425.393955170429
estimation,3984,1328,7422.493231760596
insurance,2748,575,7419.970704157696
nurse,2853,636,7415.821093803343
window,3582,1081,7410.667705793829
polymorphism,3145,813,7402.618698086919
appendix,2987,718,7401.891654281684
circulation,3815,1230,7400.090902176822
composite,3037,750,7393.369175816941
replicate,4391,1589,7392.8842021129585
fold,3867,1265,7392.457044304631
urine,2579,487,7392.035067908164
reading,3416,983,7391.8681220453545
racial,2662,533,7389.6681202633845
emergency,2790,606,7386.873622632986
somatic,2896,670,7376.770052383693
classroom,1882,171,7363.967484528773
prenatal,2366,381,7362.295367479343
ultrasound,2512,457,7359.711732403911
integrin,2239,320,7357.765852013769
arrow,3994,1357,7354.844282649244
prospective,5097,2022,7353.250970649441
parasite,1884,173,7349.8859437138
boundary,3150,832,7341.618373730066
deliver,4358,1590,7334.582181798062
bead,2692,562,7330.324319691587
differentiate,4450,1648,7329.983173271438
spin,2737,588,7329.078365525674
stat3,1935,194,7327.161521921396
luciferase,2166,291,7323.6395042520535
rabbit,3182,861,7307.178007321211
pharmacol,3973,1361,7304.479442746657
cervical,2579,506,7293.33017124579
genome_wide,3113,822,7293.026029711517
junction,2848,662,7288.71376700202
impaired,4536,1716,7288.234603438988
administer,5027,2010,7282.18730018752
antiretroviral,2109,274,7257.863742969237
lifetime,3106,828,7254.0374874178615
speed,3382,1003,7250.176543606595
maintenance,4424,1662,7249.732517171774
coupling,3126,842,7248.3341192253265
carotid,1992,226,7238.868122762372
alteration,4719,1848,7232.5550026933115
hydrogen,2883,697,7229.755404002662
circulate,3402,1024,7222.558724652882
implementation,3928,1363,7215.9776062581395
presentation,4259,1573,7213.745294115291
tgf__,2004,234,7212.764385420948
dimension,3820,1296,7210.124182592289
solid,4454,1696,7208.697110590884
innate,2926,729,7206.2441158058955
chamber,3004,778,7202.926362383949
correction,3668,1203,7196.363731258303
pixel,2428,442,7194.637601650386
heme,1805,159,7194.009332447071
microbial,2530,499,7190.004077006337
gestational,2126,291,7188.392237322191
output,3449,1066,7183.702521802622
synthetic,3506,1103,7182.79801960292
staff,3464,1077,7179.3833919384115
regeneration,2432,447,7179.13351299651
implant,2583,532,7175.216128130367
agreement,4504,1740,7174.261925135498
cytometry,2793,657,7169.13083496011
team,3644,1202,7152.307735476655
washington,4769,1911,7149.317568771842
exchange,3515,1120,7147.474731093135
bilayer,1910,203,7145.881016228671
lysate,2970,775,7132.876475862182
velocity,2440,461,7127.500829708232
microbiol,2834,692,7127.2804029242925
sclerosis,2363,420,7122.673291459334
abnormal,4074,1491,7118.510896911611
physiological,4743,1909,7115.306863471613
hearing,2080,280,7113.007901477516
bowel,2305,391,7112.762961897348
solvent,2806,679,7110.077978883361
relation,4977,2055,7099.560169728381
biofilm,1562,91,7097.174167753681
depletion,3112,878,7085.583175188503
ifn__,2014,254,7083.58173622663
reliability,3565,1175,7078.2415968388705
walk,2578,550,7075.544415129786
x_ray,2914,756,7070.714826191052
cognition,2894,745,7064.603369579406
tnf__,2085,289,7064.143156057224
nutrition,3149,908,7064.027509160982
trajectory,2950,783,7054.548121060393
conformational,2602,569,7053.044965371066
discharge,2652,600,7047.889656355461
protection,3850,1372,7047.348508709063
downstream,4122,1549,7045.075492204889
feed,2897,753,7040.983847454813
microarray,2677,618,7035.200124884894
predictive,4132,1562,7027.633744596126
tyrosine,3019,835,7025.434037797376
lobe,2509,522,7017.264917511358
subgroup,3506,1158,7012.19381969161
zinc,2232,372,6998.683944275435
ng_ml,2718,652,6997.383308739631
epidemiology,4444,1777,6985.181910898565
