word,tf,df,tfidf
artery,3335,666,7783.625845067547
chromosome,3342,671,7774.966913806033
perceived,3620,803,7771.617813976733
communication,4035,1008,7745.1301056572565
secretion,3545,774,7740.998801813621
neuroscience,3936,962,7738.9475071616425
lymphoma,2775,423,7736.251239814433
resection,2675,382,7730.187862278856
myeloid,2843,456,7712.256290747611
assembly,3821,914,7708.408568134187
minutes,5176,1551,7704.762235323572
amyloid,2278,234,7699.387935441956
alpha,5545,1715,7696.693467035162
experiment,5470,1683,7695.618664018871
dendritic,3076,564,7690.480508622715
agents,5163,1557,7665.4766287187695
injected,3829,932,7649.873517938677
sirt,1693,75,7648.503938766333
odds,3629,838,7636.114085987509
parental,3199,635,7618.691901803707
hippocampus,2680,401,7614.54741743816
egfr,2375,279,7609.496869376474
resistant,4080,1066,7603.2507844682705
exposed,5070,1534,7602.852762406031
skills,2962,528,7600.830201035092
sodium,4176,1116,7590.73324333856
hepatic,2862,485,7587.338221143553
knockdown,2863,488,7572.334550512733
mirnas,1983,152,7557.867276607726
diffusion,3272,683,7554.117456593282
born,2904,510,7552.72243899437
fusion,3350,722,7548.170837983738
classification,4799,1427,7543.456180852636
deficient,4030,1060,7532.820694528654
transport,3762,929,7528.144688886651
molecule,4797,1433,7520.185116904905
hematopoietic,2803,471,7513.027692122429
metastasis,3036,579,7510.784645772567
valve,2091,190,7502.897744634038
parenting,1991,159,7498.715766534724
genetics,4647,1374,7480.410620627709
spectrum,5018,1549,7476.045337454564
supplemental,4292,1208,7461.595153546769
living,4650,1382,7458.244085914614
tasks,3159,649,7454.5379026466435
bars,4408,1269,7446.108190146293
discrimination,2946,550,7439.510778299094
microscopy,4006,1079,7416.790516614262
attention,4891,1510,7411.555006085398
chip,2609,403,7399.838609580718
gastric,2361,300,7393.301482047629
defects,3641,907,7373.272637331744
random,4880,1518,7369.100147857558
transfected,2962,572,7363.743700906077
recognition,4571,1375,7354.745644238391
percent,4833,1502,7349.338332266275
extended,4984,1573,7348.761274059374
preterm,1951,159,7348.06351607697
adverse,4558,1371,7347.107585935899
systemic,4303,1248,7340.543272103493
segmentation,2342,300,7333.804350256479
treg,1773,110,7330.876463526481
oxygen,3966,1083,7328.058379285857
symptom,3058,626,7326.54016306069
influenza,2096,209,7321.068539721691
regulates,4624,1411,7320.5157106153465
airway,2206,249,7318.973193241841
cultured,4265,1236,7316.926631382131
deficiency,3745,978,7301.629472141631
extracellular,4057,1138,7295.227818302996
enrichment,3070,641,7282.595690702303
products,4973,1590,7279.0853707009255
metabolites,2703,469,7256.494600173745
cord,2710,473,7252.271853716548
transition,4468,1356,7251.188666391637
loci,2806,520,7243.356915760663
illness,3349,791,7240.2449487571685
degradation,3793,1022,7228.296177171374
accumulation,4194,1227,7225.771381489636
emotion,2214,263,7224.4069393107275
database,5097,1666,7222.600079857435
biopsy,2760,502,7221.84454936372
clusters,3299,770,7220.917011145179
providers,3093,667,7214.176352096011
nodes,2833,539,7211.387031175182
embryonic,3212,728,7210.6490424813055
speech,2174,250,7204.09151257321
frontal,2579,421,7202.05770772283
matter,3803,1036,7195.610819332253
plant,2426,354,7195.306273586549
myocardial,2901,578,7181.821762070962
infant,2510,395,7169.374993895053
metal,2796,530,7164.284346101715
cxcr,1960,178,7160.7167502091315
wave,2861,563,7158.0241204353115
opioid,1961,179,7153.384153991562
late,4798,1551,7142.088331739276
policy,3642,967,7142.005588223722
cultures,3483,886,7134.902905984533
participant,3648,974,7127.459335758637
problem,5125,1713,7119.695947367354
plate,3473,888,7106.587076893582
posterior,3048,668,7104.651140308455
theory,4427,1382,7100.569154482579
dependence,3925,1126,7099.475845735488
missing,4301,1320,7095.890650207885
relationships,5051,1688,7091.153392754862
genotype,3013,654,7086.8866770793675
ventricular,2432,375,7072.947752471031
fish,2363,345,7069.3068681931445
dynamic,4943,1645,7067.080258696612
retina,1955,185,7067.040818435174
parameter,3776,1059,7061.611325804698
localization,3976,1167,7049.52287355708
impairment,3799,1077,7040.594712942763
countries,3076,697,7039.1954627313735
females,3242,788,7021.23951587974
regeneration,2459,396,7017.484984675232
moderate,4877,1633,7008.426379872815
fetal,3579,972,7000.003825289871
ligands,3098,718,6997.579291519956
purified,3875,1131,6991.867826748387
covariates,3241,795,6990.41031914063
sets,4532,1470,6989.217696595414
reporter,2705,519,6987.844300247639
embryos,2183,280,6986.51873846024
product,4899,1652,6983.3702284479405
respondents,2463,404,6979.638527586344
modeling,4563,1493,6966.184560527922
disability,2767,556,6957.461482767179
recovery,3878,1143,6956.35174589307
males,3244,805,6956.330396180492
pubmed,2077,242,6950.20847580288
node,2748,549,6944.503836880733
space,4481,1462,6935.018858450921
obese,2519,438,6934.785722731578
variance,4398,1420,6934.758980876516
basal,3471,932,6934.633319604374
shape,3959,1194,6928.828685888002
optical,3070,720,6925.794902577751
zebrafish,1877,172,6921.842907318648
pathology,4559,1510,6908.460288845498
arterial,2594,480,6903.734789223029
ethnicity,3480,946,6900.728273250501
complications,3456,934,6897.256791904219
vaccination,2037,233,6893.558384570422
violence,2022,228,6886.658695782913
stimuli,3282,847,6870.899061897505
gyrus,2031,234,6864.555266410278
chemistry,4060,1271,6851.863841447028
zikv,1152,18,6848.454189044652
    ,1900,187,6847.793508938059
stability,4460,1481,6844.929916307465
prediction,4040,1265,6837.227572509982
doses,3485,967,6834.126709214627
working,4438,1474,6832.191784879924
connectivity,2352,377,6827.774329660221
quantification,4070,1286,6820.988534586763
threshold,4357,1437,6818.258745538134
thyroid,2040,243,6817.984001460028
bond,2851,629,6816.966819053369
axis,4248,1381,6816.541773962386
sampling,3918,1207,6814.644956375781
skeletal,2612,506,6813.855950911747
strength,3995,1249,6811.9222543863625
column,3645,1061,6809.746919807644
viruses,2386,397,6803.140200582885
innate,2783,599,6790.37769282187
confidence,4537,1540,6785.867349579362
household,2523,467,6784.0472827258745
inhibitory,3501,990,6783.206827394631
functioning,3324,893,6783.033786385958
polymer,2256,340,6782.133492697562
california,4675,1611,6781.555376277272
native,3584,1036,6781.243538387273
loop,3157,803,6777.623601857609
correlations,3719,1112,6773.396063546404
lesion,2736,579,6768.612249945239
subunit,3140,797,6764.677164503972
stained,3686,1097,6763.352948491342
marijuana,1658,117,6753.094564860383
cocaine,1971,224,6747.845455675641
dataset,3129,797,6740.9792508703595
centers,4402,1488,6735.157936889181
recruitment,3998,1280,6719.019236788214
contact,4147,1360,6718.017601021271
motion,2702,572,6717.36511811216
conserved,3438,975,6713.633548786548
costs,3170,829,6704.519278036285
sensory,2572,507,6704.43101130752
thickness,2998,737,6693.402469281315
load,2886,678,6684.158325138586
amplitude,2554,502,6682.822818505413
enzymes,3410,971,6672.974424221134
hospitals,2548,502,6667.123156441579
ring,2764,617,6662.183739493056
burden,4021,1311,6661.449884179474
hormone,2868,674,6659.439651692117
fluorescent,3349,942,6655.150178254802
catenin,1935,221,6650.687419753165
tube,3018,760,6645.310147698051
infect,2749,613,6643.908355723942
color,3613,1096,6632.702030112099
shift,3889,1249,6631.18038731128
aged,3871,1240,6628.482869406649
membranes,3246,893,6623.865123528525
rural,2406,438,6623.697677210074
interview,2865,682,6618.6680086761025
methyl,2851,675,6615.739150228742
mixture,3667,1134,6606.848492373236
solid,4255,1455,6605.671703668911
reading,3103,818,6604.26423827135
survivors,2100,296,6604.1871196140655
decline,3287,924,6595.360214577652
likelihood,3998,1322,6589.941154123334
fluid,3339,956,6586.019066495772
fear,2317,401,6583.174017240379
spectrometry,2724,616,6570.188574355678
words,2883,704,6568.719765939939
real,4723,1714,6558.477596563567
lateral,3013,780,6556.036547013108
effector,2704,611,6543.986916147709
fraction,3971,1327,6530.44621887691
composition,3742,1205,6514.730761580596
colorectal,2410,461,6511.367933808538
guidelines,4639,1689,6509.994738866335
interval,4370,1550,6507.8051088909915
oxidation,2513,516,6506.417593532694
neonatal,2465,491,6504.559017918492
particle,2428,473,6497.607402518
partner,2690,616,6488.181815351238
tolerance,2963,770,6485.47350834288
neurol,2965,772,6482.159833940569
healthcare,3946,1330,6480.42205270096
cyclin,1880,219,6478.74081963347
person,3197,907,6474.142439316008
predictors,3720,1207,6470.260142347603
figures,4188,1466,6470.114830138867
variability,4125,1436,6458.074070480678
suppression,3592,1139,6455.9177647791375
graft,2117,326,6453.278795223561
barrier,3200,915,6452.116474843425
diagnosed,3840,1281,6450.486381186651
base,3999,1370,6448.965134922842
mammalian,3752,1233,6445.95461179505
zinc,2195,366,6437.006800926681
initiation,3825,1281,6425.2891687601405
deficits,2749,664,6424.215935701871
anova,3255,957,6416.930020047251
anterior,2780,684,6414.162077995484
auditory,1949,256,6412.274354390646
coverage,2856,728,6411.461290574909
dmso,2374,462,6408.958589310505
residue,2709,646,6405.189290318955
clinic,3687,1210,6403.710000045274
postoperative,2167,358,6402.786093229768
engineering,3642,1185,6401.588597565479
spin,2166,358,6399.831415752505
luciferase,1933,251,6397.761294920951
cartilage,1673,151,6387.397938718656
demographic,3961,1372,6381.906380953291
mapping,3507,1114,6380.979637421255
mild,3546,1138,6376.356382475333
applications,4478,1655,6375.123399469412
regulate,4164,1487,6373.81196963719
input,3468,1095,6369.678448661984
reactions,3449,1085,6366.423556831193
wound,2168,365,6363.758822656908
enriched,3075,868,6362.232653186504
computational,3239,964,6361.781988564435
cytometry,2511,546,6359.3372261650775
labeling,2926,783,6355.499548212041
susceptibility,3292,997,6355.073311667817
improvement,4328,1586,6345.886986039121
microbial,2282,427,6340.369159893735
dimensional,3498,1123,6336.457378221918
monitoring,4262,1557,6327.767071779856
efficiency,3871,1343,6319.598213102245
phosphate,3445,1098,6318.00887929345
unit,4515,1696,6317.3096526147765
ptsd,1514,106,6316.061853501765
educational,2730,681,6310.799470014801
charge,2888,773,6310.081926741421
recurrent,2826,737,6309.391386987657
urinary,2236,409,6308.8635078412035
arthritis,2304,445,6306.361762171049
specificity,4390,1635,6303.216349660718
progenitor,2427,512,6302.641930341864
ischemic,2360,476,6300.710558261104
normalized,4057,1456,6295.499387019565
estrogen,2158,372,6293.411243065658
autoimmune,2198,394,6283.773300496815
wall,2894,786,6274.9261245537555
feedback,3169,949,6273.991476556644
involvement,4165,1525,6270.244126303043
mtor,1913,260,6264.173656856702
marker,4337,1622,6261.739908124136
estimation,3274,1021,6242.44624136512
probe,3262,1014,6242.007535771285
hydrogen,2574,611,6229.372160563685
lymph,2266,440,6227.955379479544
colon,2448,540,6226.833961410928
device,2605,631,6220.491485925097
ions,2257,437,6218.660795159107
evolution,3340,1068,6217.969263440797
visits,2602,630,6217.454656412691
scan,2864,784,6217.17533365039
oxide,2482,565,6200.990906108808
acquisition,4035,1478,6200.848236299235
biomarker,2637,656,6194.443992236646
library,2816,762,6193.127164864485
interface,3049,902,6191.287032040875
personality,2145,384,6187.398169258801
workers,2349,494,6184.15344927252
profiles,3962,1444,6180.871127365249
receiving,3911,1415,6180.653631177793
locus,2705,700,6178.571997918958
visit,2767,737,6177.6666552706465
weighted,3055,911,6173.139415364626
completed,4419,1700,6172.578219665825
invasive,3081,927,6172.034503040665
partners,2703,701,6170.1450646295425
online,4419,1702,6167.382451871481
camp,1927,280,6167.21099817356
event,4012,1479,6162.789071824605
nursing,2371,511,6161.851710974577
elements,3731,1322,6149.842532774927
copd,1578,140,6144.050368784454
fiber,2314,485,6134.556479289371
washed,3298,1070,6133.6089764144435
joint,3031,910,6127.972334248336
apoptotic,2451,564,6127.882876018945
questionnaire,2884,822,6124.087677865217
congenital,2114,380,6120.112891934898
gold,2898,832,6118.773510198675
validation,4073,1532,6113.088774729758
reconstruction,2252,456,6109.040157145136
endogenous,3569,1242,6105.603225978111
tyrosine,2721,729,6104.663446834433
insurance,2238,450,6100.704927453587
organ,3197,1021,6095.632447661665
induces,4202,1612,6092.81402959077
androgen,1670,179,6091.867178564971
vesicles,1943,299,6090.8520678012255
south,3211,1032,6087.9163780861145
discovery,4024,1514,6087.104919378789
cortisol,1566,141,6086.181597765755
aureus,1571,143,6083.486724277974
constant,3950,1475,6078.248919816176
orientation,2823,799,6074.6711890255365
reactive,3230,1049,6071.165672514975
equation,3035,931,6066.816850684619
exchange,2822,805,6051.40702158488
intermediate,3310,1105,6049.3886025475085
prospective,4131,1589,6049.231077433187
middle,4059,1549,6047.283384760477
composite,2456,587,6042.215941261204
infusion,2228,457,6039.054318131307
adaptive,2929,877,6029.942467413999
spectral,2281,489,6028.336229125609
category,3138,1007,6026.46489362707
literacy,1597,158,6024.866842727487
reactivity,2457,594,6015.549621548654
tumour,2321,515,6013.8121097238245
sclerosis,1988,334,6011.850107726533
block,3681,1343,6009.413852345482
curve,3515,1244,6007.568014132858
reporting,3570,1278,6005.307018554002
feature,3561,1273,6004.126838644905
medicare,1928,306,5999.213697380178
persons,2746,775,5992.726054617304
hscs,1205,48,5981.631390571221
blot,2536,651,5976.593283211205
prefrontal,1940,316,5974.168405149728
plates,2864,856,5965.540410664008
hkme,1389,94,5961.470881456387
sigma,3534,1275,5953.05482745691
epigenetic,2304,519,5951.938361467859
malignant,2607,701,5951.00561727311
yield,3724,1392,5946.161531194461
hepatitis,2001,352,5946.1301554200545
overexpression,2747,789,5945.728060321643
search,3283,1124,5944.073185229923
younger,3125,1026,5943.085743541802
mite,1026,21,5941.245914615126
substrates,2703,763,5941.065424722151
upper,3793,1435,5940.939242439112
feeding,2132,424,5938.636981977308
bipolar,1879,292,5934.740066762726
treatments,3959,1537,5929.088348976837
hair,1779,246,5923.854612434745
americans,2422,596,5921.716847362152
band,2536,666,5918.823131361709
speed,2784,820,5918.5226475617255
therapies,3585,1319,5917.333999744194
medications,2736,791,5914.992588772652
spectroscopy,2350,555,5913.1695223064935
world,4113,1632,5913.05004143998
hdac,1423,108,5909.831753596237
your,2431,605,5907.28625569443
ethanol,2406,590,5906.941551794968
emergency,2188,464,5897.3730942259845
organization,4038,1596,5895.297020672214
mood,2102,416,5895.111977552744
recombinant,2842,866,5886.707227598907
effectiveness,3354,1191,5878.427993511686
experiences,2711,786,5878.135702717772
atrial,1624,185,5870.523933063285
murine,3145,1063,5869.7024683381405
movement,2783,834,5869.283161612774
promotes,3765,1447,5865.729704927767
integrin,1838,283,5862.785434346329
conformational,2173,463,5861.631449012683
mother,2202,480,5860.456440196264
helix,2009,372,5858.880068266408
antiretroviral,1675,208,5858.601243137645
plus,3815,1480,5857.600964696125
choice,3316,1175,5856.676214976618
viability,2544,688,5854.816615859022
neurology,2670,767,5854.57217833255
ieee,2116,432,5854.51679638868
screen,2996,975,5850.507886028068
fmri,1691,217,5842.934469219062
heterogeneity,3159,1082,5839.866409449962
invasion,2245,510,5838.795411688141
adipose,1836,286,5837.045446622023
resources,3789,1474,5833.072256176212
tract,2658,767,5828.259494384988
distress,2216,496,5825.054133857187
depletion,2584,722,5822.230879208949
maps,2498,669,5818.907156032585
needs,3818,1498,5816.052175822885
computed,3191,1111,5814.623204812056
academic,3124,1070,5810.004379114228
economic,2544,701,5807.195354945452
transgenic,2488,666,5806.7949332917715
protective,3144,1085,5803.431621535887
allergy,2046,403,5803.016402913817
plasmid,2250,522,5799.471470508268
practices,2840,892,5798.553900278793
protection,3219,1135,5796.847736136706
